ticket_id,booking_id,seat_number,coach_number,class_type,fare_amount
5406,4967,S45-6,C5,AC,375.97
5407,6239,S49-5,C5,AC,111.95
5408,1084,S46-1,C1,AC,249.36
5409,734,S24-2,C1,Sleeper,126.99
5410,1469,S22-1,C9,AC,96.15
5411,4215,S2-6,C5,AC,468.45
5412,4287,S49-4,C4,General,309.61
5413,9494,S10-2,C9,AC,67.32
5414,1076,S20-6,C5,General,333.36
5415,7951,S37-1,C6,General,272.17
5416,3594,S21-5,C1,AC,477.26
5417,4411,S8-4,C4,Sleeper,280.1
5418,2622,S29-3,C1,Sleeper,236.02
5419,9269,S11-1,C6,Sleeper,324.71
5420,407,S44-1,C6,Sleeper,368.29
5421,7923,S46-6,C5,General,466.76
5422,2027,S50-4,C10,General,369.11
5423,902,S13-6,C4,Sleeper,445.64
5424,9706,S16-4,C6,General,349.39
5425,8372,S7-2,C1,General,94.96
5426,2228,S6-4,C1,General,313.53
5427,4662,S19-5,C6,AC,81.49
5428,1072,S14-3,C2,Sleeper,133.02
5429,9764,S2-4,C2,AC,305.28
5430,8903,S49-3,C4,AC,498.47
5431,935,S27-4,C1,AC,490.68
5432,9647,S25-4,C1,Sleeper,195.94
5433,8665,S40-1,C3,AC,412.74
5434,7704,S31-2,C3,AC,292.53
5435,5360,S46-6,C8,General,394.52
5436,1161,S4-3,C3,General,316.99
5437,1028,S27-6,C9,AC,408.96
5438,1207,S33-3,C6,Sleeper,348.14
5439,6802,S30-4,C8,General,247.34
5440,45,S21-6,C5,Sleeper,459.68
5441,6938,S43-6,C7,General,453.28
5442,1416,S23-2,C5,Sleeper,483.45
5443,5189,S10-3,C3,AC,482.62
5444,9860,S50-5,C7,General,474.89
5445,7063,S37-4,C7,General,242.25
5446,9346,S1-1,C8,General,128.63
5447,1952,S26-1,C5,Sleeper,393.56
5448,8128,S38-6,C7,AC,351.69
5449,4753,S37-4,C1,Sleeper,298.23
5450,4997,S7-1,C4,Sleeper,444.03
5451,1191,S24-3,C8,General,438.2
5452,889,S5-5,C4,Sleeper,468.92
5453,7738,S33-3,C10,Sleeper,276.8
5454,4105,S23-4,C1,General,427.3
5455,4746,S15-2,C1,Sleeper,473.52
5456,723,S10-2,C4,General,395.91
5457,4092,S42-3,C5,Sleeper,160.97
5458,7389,S6-2,C4,General,167.19
5459,4128,S32-2,C8,General,83.05
5460,1824,S39-4,C6,General,424.0
5461,7869,S15-3,C2,AC,345.61
5462,4713,S37-4,C1,General,223.43
5463,1015,S29-6,C7,AC,169.84
5464,1478,S10-3,C4,AC,378.91
5465,6634,S42-5,C4,AC,287.11
5466,4851,S38-4,C6,Sleeper,358.74
5467,8017,S39-5,C1,Sleeper,191.16
5468,8347,S15-2,C7,General,312.97
5469,3903,S26-1,C7,Sleeper,486.67
5470,966,S5-4,C10,General,334.2
5471,1483,S48-1,C10,AC,330.73
5472,8183,S36-2,C4,Sleeper,290.08
5473,6150,S36-2,C5,AC,102.3
5474,6993,S45-1,C1,AC,205.64
5475,5139,S42-1,C4,General,117.45
5476,2801,S11-4,C3,General,396.87
5477,6209,S49-3,C9,General,153.25
5478,4497,S47-5,C10,AC,430.74
5479,5432,S10-1,C5,General,295.21
5480,5191,S10-4,C8,General,320.62
5481,3159,S33-5,C6,Sleeper,209.56
5482,6574,S37-3,C1,General,184.37
5483,8433,S30-1,C9,General,409.97
5484,9753,S40-1,C8,General,52.67
5485,8141,S26-4,C2,AC,164.38
5486,8502,S48-1,C7,Sleeper,463.38
5487,7228,S4-1,C2,Sleeper,236.01
5488,1122,S10-2,C1,Sleeper,239.53
5489,5916,S29-4,C10,Sleeper,157.87
5490,5073,S42-4,C3,General,414.32
5491,9717,S36-3,C7,General,171.51
5492,1656,S46-2,C3,General,455.33
5493,9858,S34-3,C4,AC,417.2
5494,1673,S17-2,C1,Sleeper,337.31
5495,9438,S17-2,C7,AC,461.14
5496,6546,S13-2,C6,Sleeper,209.45
5497,1494,S3-6,C5,General,150.8
5498,8883,S2-3,C6,Sleeper,90.24
5499,600,S11-3,C10,Sleeper,182.74
5500,6096,S19-6,C8,AC,318.75
5501,7631,S7-2,C6,General,194.73
5502,8316,S18-4,C10,General,96.43
5503,2457,S33-3,C8,Sleeper,114.76
5504,1829,S40-5,C3,AC,126.98
5505,4982,S6-5,C9,General,268.99
5506,3296,S16-2,C4,Sleeper,240.54
5507,5662,S43-5,C8,AC,81.26
5508,5830,S22-2,C3,Sleeper,364.06
5509,2522,S9-4,C10,AC,94.69
5510,8027,S30-6,C1,Sleeper,89.31
5511,2821,S35-1,C9,AC,400.58
5512,5609,S45-1,C8,Sleeper,342.63
5513,4438,S35-5,C10,General,161.21
5514,1888,S6-5,C9,General,244.7
5515,4029,S24-3,C1,AC,112.24
5516,5311,S42-4,C5,Sleeper,383.76
5517,6330,S2-6,C6,AC,188.27
5518,3413,S9-5,C1,Sleeper,279.85
5519,5519,S1-5,C2,AC,274.78
5520,2926,S32-3,C1,AC,366.34
5521,6767,S11-2,C10,General,455.69
5522,2649,S22-1,C6,Sleeper,279.05
5523,5240,S13-1,C3,Sleeper,192.25
5524,4354,S34-6,C5,Sleeper,495.93
5525,9367,S17-1,C9,AC,182.98
5526,7067,S46-2,C1,AC,435.7
5527,3070,S20-3,C8,General,444.01
5528,7673,S12-4,C4,Sleeper,409.3
5529,2663,S46-1,C2,General,279.36
5530,8356,S50-6,C3,General,316.02
5531,8892,S3-4,C5,Sleeper,287.96
5532,5626,S50-6,C8,Sleeper,323.65
5533,3813,S9-1,C7,AC,444.93
5534,2005,S21-3,C7,General,433.18
5535,7462,S16-6,C4,AC,219.16
5536,795,S30-2,C8,AC,346.62
5537,9128,S46-6,C8,General,238.02
5538,5404,S42-6,C10,AC,155.77
5539,4765,S27-1,C6,General,264.44
5540,583,S23-1,C3,General,90.69
5541,9804,S9-3,C1,General,400.39
5542,8374,S43-2,C7,General,284.64
5543,2764,S22-1,C8,Sleeper,337.07
5544,4583,S42-3,C6,General,427.29
5545,2417,S25-4,C5,AC,305.42
5546,3871,S19-3,C4,Sleeper,390.96
5547,2646,S36-2,C8,Sleeper,422.6
5548,3219,S1-2,C8,Sleeper,133.93
5549,501,S20-3,C9,AC,54.21
5550,407,S1-3,C6,Sleeper,184.98
5551,4495,S26-2,C3,AC,483.08
5552,9903,S9-5,C2,AC,119.09
5553,2887,S18-2,C4,AC,260.45
5554,2743,S44-1,C5,General,406.73
5555,4316,S19-2,C8,AC,459.38
5556,2388,S41-5,C3,AC,355.38
5557,9360,S39-3,C9,AC,301.5
5558,8130,S23-5,C7,AC,215.78
5559,9033,S32-4,C10,AC,479.5
5560,3897,S2-1,C9,General,407.39
5561,7188,S6-1,C7,Sleeper,148.9
5562,9965,S42-1,C7,General,145.84
5563,1771,S33-2,C5,General,433.67
5564,4532,S49-4,C5,General,195.0
5565,6542,S45-4,C6,AC,364.11
5566,185,S12-6,C1,AC,241.91
5567,2320,S18-6,C6,Sleeper,497.98
5568,3896,S47-1,C10,AC,100.34
5569,2307,S30-6,C4,AC,367.98
5570,5462,S31-5,C5,General,184.31
5571,9122,S19-6,C5,Sleeper,246.09
5572,4544,S38-6,C6,Sleeper,247.99
5573,659,S24-4,C6,AC,328.42
5574,1350,S22-5,C8,AC,172.16
5575,2003,S22-6,C1,Sleeper,113.28
5576,9771,S22-1,C9,General,217.8
5577,9211,S39-4,C7,General,88.4
5578,6227,S45-3,C6,Sleeper,423.18
5579,8553,S39-1,C5,General,77.69
5580,8589,S29-4,C10,General,102.87
5581,6082,S30-3,C9,Sleeper,76.95
5582,8265,S43-4,C10,Sleeper,286.3
5583,217,S46-2,C7,AC,377.8
5584,2361,S11-3,C10,Sleeper,380.07
5585,9871,S50-2,C5,Sleeper,399.83
5586,8189,S18-5,C8,General,183.04
5587,5259,S11-2,C9,Sleeper,216.78
5588,1269,S21-4,C3,General,184.23
5589,3836,S48-4,C3,General,320.57
5590,2223,S3-3,C4,Sleeper,92.76
5591,941,S19-2,C7,Sleeper,386.85
5592,8100,S24-5,C10,General,394.33
5593,7860,S45-6,C3,General,472.96
5594,5014,S25-6,C9,AC,278.94
5595,5599,S30-4,C1,AC,57.8
5596,5277,S31-3,C10,General,262.18
5597,3225,S48-5,C3,General,353.68
5598,1354,S35-5,C2,General,164.31
5599,5636,S18-5,C5,AC,376.71
5600,2827,S38-1,C9,General,495.42
5601,5913,S34-1,C6,General,454.56
5602,827,S29-4,C9,Sleeper,355.26
5603,25,S21-3,C3,AC,60.64
5604,4563,S18-2,C2,Sleeper,267.63
5605,3743,S49-5,C5,General,223.35
5606,7384,S17-2,C7,General,475.29
5607,5055,S35-3,C1,AC,59.96
5608,3926,S45-3,C3,Sleeper,152.51
5609,5193,S48-1,C5,AC,495.73
5610,416,S24-4,C2,Sleeper,420.97
5611,7070,S9-1,C9,General,64.8
5612,49,S8-6,C2,Sleeper,165.52
5613,2362,S24-5,C9,AC,359.77
5614,4784,S39-6,C7,Sleeper,111.37
5615,2647,S21-1,C10,Sleeper,477.51
5616,512,S8-1,C10,General,275.89
5617,5506,S11-4,C2,AC,112.86
5618,2227,S32-1,C3,General,219.54
5619,1955,S9-3,C10,Sleeper,395.35
5620,9512,S32-4,C1,AC,70.48
5621,7390,S8-5,C4,Sleeper,406.69
5622,182,S4-5,C5,General,425.06
5623,2401,S22-3,C1,Sleeper,385.67
5624,3462,S24-6,C2,General,378.65
5625,8352,S42-5,C4,AC,386.25
5626,8074,S25-3,C10,AC,249.17
5627,9683,S30-5,C3,AC,364.74
5628,9504,S41-1,C2,AC,343.4
5629,1301,S27-6,C5,AC,221.88
5630,3552,S12-4,C7,Sleeper,350.01
5631,1320,S33-5,C3,General,484.27
5632,8249,S42-4,C7,General,364.11
5633,2449,S19-3,C9,General,186.32
5634,5222,S6-4,C7,Sleeper,471.37
5635,6982,S15-3,C8,AC,183.37
5636,8359,S49-3,C6,Sleeper,184.79
5637,5671,S18-1,C7,General,138.67
5638,3266,S8-3,C3,Sleeper,351.25
5639,5047,S30-2,C4,General,64.54
5640,3117,S11-4,C1,AC,199.44
5641,4567,S1-2,C8,AC,458.99
5642,1531,S49-2,C5,Sleeper,120.13
5643,98,S48-3,C9,General,333.91
5644,481,S47-6,C8,General,427.97
5645,4274,S42-2,C7,General,246.31
5646,4009,S25-6,C8,AC,498.13
5647,5027,S41-5,C6,Sleeper,448.38
5648,5331,S44-2,C10,AC,440.81
5649,118,S14-6,C2,Sleeper,61.55
5650,3720,S48-2,C8,General,322.19
5651,8400,S22-3,C10,AC,195.0
5652,2574,S5-6,C2,AC,465.61
5653,9031,S2-1,C3,General,100.62
5654,897,S21-5,C4,General,59.57
5655,4030,S4-4,C5,General,105.28
5656,8183,S43-1,C3,General,87.17
5657,9265,S12-6,C10,Sleeper,408.42
5658,8409,S13-3,C1,Sleeper,58.85
5659,7523,S43-2,C6,General,55.97
5660,2000,S3-5,C9,AC,312.71
5661,926,S41-4,C1,General,172.59
5662,8322,S41-2,C10,Sleeper,159.68
5663,3133,S38-3,C2,General,342.05
5664,1927,S33-4,C3,AC,172.21
5665,9927,S13-2,C2,AC,204.94
5666,1149,S13-4,C4,Sleeper,101.29
5667,9702,S25-6,C10,AC,332.18
5668,4981,S39-6,C2,General,468.51
5669,9013,S4-5,C9,AC,460.13
5670,8092,S26-2,C5,Sleeper,387.15
5671,7096,S12-3,C4,Sleeper,455.51
5672,4357,S2-6,C3,General,144.47
5673,3808,S37-2,C1,General,170.29
5674,7578,S18-1,C3,General,472.33
5675,9105,S28-1,C4,AC,266.09
5676,9268,S49-1,C6,AC,120.22
5677,3590,S6-4,C1,Sleeper,272.02
5678,7947,S12-1,C8,General,281.5
5679,8062,S47-2,C9,AC,278.79
5680,2532,S50-4,C6,Sleeper,71.39
5681,3352,S6-6,C3,Sleeper,217.87
5682,4643,S33-6,C4,AC,239.56
5683,5217,S15-5,C7,AC,100.74
5684,3448,S10-2,C10,AC,138.83
5685,2420,S5-3,C6,General,206.84
5686,2559,S14-5,C4,Sleeper,202.27
5687,1302,S3-3,C2,General,377.94
5688,5492,S3-6,C8,General,267.09
5689,2049,S11-5,C2,Sleeper,379.87
5690,9488,S8-5,C9,AC,53.72
5691,8471,S39-5,C6,Sleeper,68.73
5692,808,S15-5,C9,General,325.34
5693,1662,S48-2,C3,Sleeper,154.2
5694,359,S37-4,C1,Sleeper,152.03
5695,4521,S37-4,C2,Sleeper,230.88
5696,30,S29-2,C9,Sleeper,466.37
5697,9889,S16-6,C5,AC,406.5
5698,7040,S39-4,C10,Sleeper,337.41
5699,1852,S4-2,C4,Sleeper,309.92
5700,3952,S29-5,C9,Sleeper,171.77
5701,6608,S1-1,C8,General,451.17
5702,9905,S17-5,C3,Sleeper,198.66
5703,2610,S4-2,C8,Sleeper,476.95
5704,891,S20-5,C10,AC,288.32
5705,558,S22-3,C1,Sleeper,183.79
5706,4555,S15-1,C2,Sleeper,454.36
5707,7036,S32-1,C6,Sleeper,111.8
5708,1204,S4-4,C6,Sleeper,475.26
5709,3237,S23-6,C5,General,446.56
5710,4033,S28-3,C4,AC,206.52
5711,8724,S17-5,C2,Sleeper,335.97
5712,2938,S25-3,C3,AC,305.35
5713,4406,S50-5,C6,General,229.38
5714,8310,S40-3,C7,AC,344.51
5715,8733,S22-3,C8,Sleeper,419.61
5716,9036,S37-2,C1,Sleeper,484.49
5717,1949,S12-4,C10,Sleeper,184.13
5718,6195,S9-5,C2,Sleeper,421.6
5719,322,S29-1,C7,General,305.14
5720,2078,S14-2,C2,AC,100.31
5721,4573,S25-4,C6,Sleeper,485.99
5722,1496,S21-4,C1,AC,209.82
5723,598,S7-3,C4,General,439.61
5724,2394,S50-4,C7,AC,344.28
5725,9351,S8-6,C9,Sleeper,173.43
5726,4498,S1-3,C3,General,289.51
5727,2106,S17-2,C1,Sleeper,322.41
5728,4359,S6-1,C9,AC,106.86
5729,9808,S30-5,C7,AC,226.33
5730,2284,S27-2,C4,General,144.25
5731,2011,S13-2,C6,AC,421.21
5732,1393,S12-6,C8,AC,87.26
5733,5089,S1-6,C6,AC,95.47
5734,2109,S48-5,C8,AC,461.3
5735,2485,S40-1,C7,Sleeper,352.81
5736,6894,S38-2,C5,General,422.71
5737,1430,S30-3,C7,AC,296.4
5738,8251,S12-1,C8,General,313.78
5739,5424,S47-6,C3,Sleeper,274.36
5740,7741,S2-3,C7,AC,289.57
5741,3310,S43-4,C2,AC,144.6
5742,992,S13-4,C7,Sleeper,355.76
5743,7979,S18-5,C2,General,482.76
5744,7512,S17-2,C2,Sleeper,104.51
5745,8869,S12-4,C3,AC,303.99
5746,6854,S30-2,C5,General,274.04
5747,3126,S42-1,C8,General,182.28
5748,1338,S28-6,C5,AC,450.11
5749,5545,S48-4,C1,General,466.88
5750,5415,S30-6,C6,AC,495.78
5751,6118,S30-5,C7,Sleeper,348.1
5752,2488,S36-2,C4,AC,111.89
5753,8966,S11-1,C10,AC,287.03
5754,6926,S9-2,C4,General,196.58
5755,3770,S18-6,C3,Sleeper,103.68
5756,2555,S46-5,C7,General,272.03
5757,9599,S43-4,C4,Sleeper,197.52
5758,9195,S41-5,C7,Sleeper,324.72
5759,3981,S50-5,C5,AC,210.56
5760,6116,S40-5,C10,Sleeper,186.01
5761,3911,S10-6,C9,Sleeper,396.27
5762,1632,S39-3,C1,General,177.07
5763,1208,S29-4,C10,Sleeper,364.67
5764,8017,S5-3,C5,General,313.35
5765,9280,S47-3,C1,AC,162.41
5766,6311,S9-2,C7,General,56.21
5767,6830,S36-2,C7,Sleeper,250.38
5768,308,S25-5,C6,General,246.65
5769,6777,S24-2,C2,AC,439.75
5770,2400,S19-5,C10,AC,221.4
5771,6446,S21-3,C7,AC,146.67
5772,8355,S37-5,C8,General,319.6
5773,67,S48-4,C1,Sleeper,176.54
5774,6710,S27-1,C6,General,123.72
5775,6727,S48-1,C3,AC,268.32
5776,3203,S2-3,C3,Sleeper,227.7
5777,426,S47-5,C2,General,340.97
5778,7383,S48-1,C7,AC,303.17
5779,5208,S19-5,C10,Sleeper,367.06
5780,380,S11-6,C2,Sleeper,169.33
5781,467,S38-1,C6,AC,406.85
5782,1694,S26-4,C4,General,147.19
5783,9852,S45-5,C8,Sleeper,427.66
5784,4788,S40-5,C4,AC,233.47
5785,3887,S12-4,C8,Sleeper,146.35
5786,1143,S38-2,C3,General,277.58
5787,8077,S22-2,C6,AC,242.22
5788,8919,S31-3,C3,AC,169.68
5789,7170,S39-6,C8,General,402.65
5790,9702,S32-6,C6,Sleeper,201.36
5791,2139,S7-4,C2,General,425.43
5792,1951,S27-5,C5,General,322.39
5793,5455,S37-5,C3,General,220.11
5794,5084,S45-5,C5,General,491.94
5795,695,S21-6,C4,AC,214.3
5796,4434,S37-5,C1,AC,322.31
5797,5512,S46-1,C2,General,164.86
5798,170,S6-1,C9,General,380.1
5799,7604,S42-2,C7,General,357.39
5800,5753,S40-3,C8,Sleeper,140.17
5801,3153,S38-2,C7,General,222.08
5802,9648,S24-6,C10,General,82.03
5803,8683,S13-4,C1,Sleeper,310.81
5804,8113,S48-2,C2,Sleeper,388.18
5805,5395,S18-5,C8,Sleeper,273.02
5806,1565,S19-5,C8,AC,272.84
5807,984,S4-2,C9,AC,268.46
5808,1564,S27-1,C8,Sleeper,392.42
5809,9566,S34-3,C1,AC,453.54
5810,7802,S35-5,C3,AC,213.13
5811,6892,S7-2,C9,General,470.8
5812,4875,S4-5,C3,General,407.71
5813,7405,S47-2,C8,General,392.61
5814,620,S25-3,C8,Sleeper,289.69
5815,7299,S3-3,C5,General,86.75
5816,6670,S43-1,C8,General,135.88
5817,285,S10-4,C6,General,289.79
5818,9621,S17-2,C3,General,54.74
5819,761,S2-1,C10,General,170.06
5820,3568,S25-3,C10,AC,384.93
5821,8012,S22-3,C6,AC,371.55
5822,3062,S12-2,C4,AC,53.83
5823,9707,S17-2,C5,AC,110.25
5824,6996,S38-6,C4,Sleeper,468.5
5825,5408,S9-5,C10,AC,308.1
5826,6495,S6-6,C8,General,65.83
5827,8332,S34-3,C5,General,380.95
5828,1848,S36-5,C3,AC,170.01
5829,236,S44-5,C5,Sleeper,366.38
5830,6080,S20-4,C3,AC,241.37
5831,3508,S3-2,C5,AC,292.31
5832,4675,S1-5,C5,Sleeper,68.84
5833,9348,S19-2,C7,AC,239.09
5834,4854,S32-6,C1,AC,189.32
5835,7748,S7-5,C10,AC,103.02
5836,759,S28-5,C6,AC,362.01
5837,7723,S8-2,C1,General,276.28
5838,2534,S43-6,C9,AC,288.98
5839,2615,S32-6,C3,General,170.11
5840,512,S27-5,C6,Sleeper,443.9
5841,1202,S32-1,C8,Sleeper,439.76
5842,9078,S33-2,C3,Sleeper,470.73
5843,1965,S29-2,C4,AC,375.2
5844,3346,S9-6,C9,Sleeper,59.56
5845,1719,S39-3,C10,AC,466.56
5846,8552,S41-6,C8,AC,329.4
5847,501,S14-2,C5,AC,249.72
5848,6026,S30-4,C4,AC,351.51
5849,1846,S19-1,C3,Sleeper,224.55
5850,5707,S28-2,C1,General,172.24
5851,8352,S19-6,C7,Sleeper,395.95
5852,9133,S4-2,C9,General,116.96
5853,3564,S37-5,C9,AC,136.98
5854,7691,S9-1,C2,General,141.99
5855,1148,S36-6,C6,Sleeper,366.33
5856,5132,S42-2,C1,General,338.98
5857,2713,S44-1,C5,General,368.3
5858,6640,S35-1,C9,Sleeper,74.05
5859,4607,S5-2,C10,General,422.16
5860,5411,S3-4,C10,General,340.21
5861,3891,S12-1,C5,General,340.09
5862,4513,S24-6,C7,General,301.26
5863,6914,S14-1,C5,AC,478.16
5864,7994,S50-1,C5,General,442.49
5865,1282,S7-3,C2,AC,367.69
5866,9565,S22-3,C4,General,111.13
5867,1407,S35-1,C2,General,110.83
5868,4715,S26-3,C9,General,300.05
5869,7375,S35-5,C10,General,72.49
5870,877,S30-4,C4,Sleeper,309.99
5871,3894,S40-2,C3,Sleeper,286.91
5872,1981,S41-1,C3,Sleeper,437.63
5873,5741,S10-2,C5,General,421.44
5874,4993,S8-4,C2,General,156.19
5875,2670,S22-4,C2,AC,253.89
5876,1521,S33-3,C1,AC,187.8
5877,9735,S30-6,C8,Sleeper,108.71
5878,3556,S26-1,C8,Sleeper,423.71
5879,9474,S46-5,C8,Sleeper,424.67
5880,7413,S34-6,C5,AC,218.1
5881,6663,S43-4,C7,General,146.65
5882,4628,S8-6,C4,General,95.19
5883,9992,S12-5,C10,Sleeper,133.82
5884,3728,S38-3,C8,General,290.19
5885,673,S4-3,C1,AC,246.91
5886,5914,S25-6,C7,Sleeper,223.06
5887,5350,S28-5,C9,General,77.7
5888,1035,S3-5,C10,General,271.35
5889,3363,S17-5,C3,General,71.34
5890,4541,S24-1,C6,AC,144.96
5891,6700,S41-4,C4,Sleeper,211.3
5892,2491,S44-3,C10,AC,116.52
5893,3341,S31-1,C10,Sleeper,477.74
5894,5093,S11-6,C9,General,162.87
5895,5513,S35-2,C2,General,393.24
5896,120,S19-5,C7,General,493.71
5897,653,S40-1,C4,Sleeper,53.77
5898,8107,S30-2,C7,General,111.96
5899,2407,S33-4,C6,Sleeper,466.8
5900,5866,S15-6,C3,General,288.27
5901,4954,S35-3,C9,Sleeper,112.79
5902,5356,S30-4,C10,General,362.31
5903,6140,S33-5,C4,General,484.86
5904,2537,S23-1,C1,General,319.11
5905,7167,S20-1,C8,Sleeper,295.83
5906,8986,S21-6,C6,Sleeper,469.28
5907,9249,S24-6,C6,Sleeper,319.1
5908,4593,S23-2,C5,AC,125.7
5909,8600,S48-3,C3,Sleeper,181.88
5910,2038,S5-6,C2,Sleeper,487.58
5911,6038,S23-5,C8,General,305.77
5912,4608,S12-2,C4,AC,96.93
5913,2392,S20-2,C7,General,459.57
5914,8327,S40-6,C9,General,384.72
5915,6159,S21-1,C10,AC,235.58
5916,4541,S23-6,C7,Sleeper,151.7
5917,6619,S25-1,C10,AC,136.91
5918,6166,S17-1,C8,AC,345.63
5919,5552,S30-1,C8,AC,483.85
5920,9738,S17-5,C2,Sleeper,51.15
5921,3117,S9-3,C9,General,221.23
5922,3186,S31-1,C3,Sleeper,235.44
5923,9263,S46-5,C8,Sleeper,303.32
5924,2467,S46-4,C7,General,258.28
5925,7766,S14-5,C3,Sleeper,142.3
5926,9901,S32-1,C4,Sleeper,402.22
5927,2616,S41-4,C2,General,209.1
5928,3546,S14-2,C7,General,68.0
5929,8900,S32-6,C4,AC,160.5
5930,6145,S12-4,C5,Sleeper,71.34
5931,6554,S4-1,C3,Sleeper,330.37
5932,2487,S44-3,C2,AC,339.65
5933,4442,S42-4,C10,AC,439.39
5934,8808,S11-3,C9,General,158.39
5935,3226,S41-1,C8,General,167.21
5936,8837,S46-3,C9,AC,374.41
5937,1848,S24-2,C1,Sleeper,93.36
5938,4900,S30-3,C5,General,282.8
5939,8566,S2-4,C2,AC,186.97
5940,4023,S33-2,C7,AC,331.07
5941,7998,S8-5,C4,AC,176.39
5942,8677,S23-4,C5,AC,119.52
5943,6015,S16-6,C7,AC,357.79
5944,6036,S21-4,C1,AC,494.38
5945,2910,S13-2,C9,General,381.3
5946,5243,S7-4,C10,Sleeper,440.14
5947,409,S27-5,C4,Sleeper,373.15
5948,2989,S39-2,C9,AC,65.57
5949,4187,S6-2,C6,General,66.49
5950,741,S26-4,C2,AC,89.31
5951,2588,S24-6,C9,General,223.07
5952,1855,S32-1,C1,General,261.15
5953,8308,S5-2,C3,General,313.55
5954,1302,S7-1,C2,General,446.82
5955,2928,S42-4,C10,General,372.71
5956,1005,S24-6,C9,Sleeper,271.4
5957,4583,S49-3,C10,General,483.97
5958,8575,S25-3,C10,General,312.74
5959,8747,S48-6,C10,Sleeper,352.41
5960,8972,S23-5,C3,AC,392.47
5961,5203,S22-1,C4,General,92.51
5962,3880,S3-4,C4,Sleeper,205.8
5963,9623,S35-3,C8,General,429.49
5964,1185,S9-6,C3,General,487.3
5965,3318,S32-4,C10,General,189.49
5966,2342,S46-5,C3,General,167.32
5967,1486,S4-6,C5,Sleeper,57.41
5968,7324,S6-6,C1,Sleeper,490.12
5969,5677,S27-2,C4,General,94.39
5970,676,S41-4,C6,General,331.75
5971,6252,S42-3,C5,General,141.89
5972,2832,S10-5,C4,Sleeper,64.83
5973,8186,S20-2,C4,Sleeper,297.21
5974,4004,S6-6,C1,AC,308.33
5975,9193,S35-1,C7,General,184.29
5976,608,S27-2,C8,Sleeper,84.82
5977,3462,S28-4,C2,General,217.25
5978,2842,S48-5,C3,Sleeper,171.99
5979,7099,S16-5,C3,AC,415.31
5980,9829,S29-1,C7,General,322.5
5981,7430,S21-3,C5,Sleeper,159.09
5982,524,S33-1,C6,General,80.35
5983,3733,S2-1,C2,Sleeper,466.4
5984,5453,S36-6,C10,General,319.64
5985,1842,S7-3,C5,Sleeper,184.66
5986,2250,S17-5,C5,Sleeper,472.61
5987,6343,S8-2,C6,AC,421.05
5988,6174,S13-5,C1,AC,137.84
5989,8334,S30-3,C7,AC,354.34
5990,1983,S37-1,C2,Sleeper,494.55
5991,4827,S42-6,C10,Sleeper,183.29
5992,690,S5-2,C8,Sleeper,481.63
5993,5011,S44-1,C10,AC,208.92
5994,2486,S33-5,C8,Sleeper,159.82
5995,1074,S29-3,C6,AC,327.49
5996,5800,S27-2,C8,AC,248.23
5997,7390,S43-4,C9,Sleeper,125.61
5998,8637,S48-4,C8,Sleeper,142.28
5999,7273,S10-4,C6,AC,357.73
6000,3281,S29-2,C1,Sleeper,180.02
6001,1065,S26-3,C6,General,78.81
6002,1136,S31-6,C9,General,115.63
6003,3800,S15-6,C6,Sleeper,134.36
6004,5018,S11-1,C8,Sleeper,89.38
6005,9739,S34-5,C9,Sleeper,148.9
6006,7252,S9-2,C5,Sleeper,279.88
6007,3221,S19-3,C3,General,356.37
6008,7193,S8-2,C3,General,157.31
6009,2575,S50-3,C4,General,55.38
6010,62,S31-2,C4,Sleeper,178.14
6011,8958,S41-3,C5,AC,175.15
6012,5558,S7-2,C8,AC,334.67
6013,8829,S29-1,C6,AC,164.73
6014,8661,S1-1,C6,AC,383.69
6015,5392,S49-2,C10,General,431.78
6016,5020,S40-2,C1,General,365.92
6017,8504,S45-2,C4,Sleeper,426.1
6018,2300,S6-3,C4,General,125.38
6019,2998,S50-2,C4,Sleeper,401.85
6020,1384,S33-4,C2,AC,127.33
6021,4697,S23-4,C1,General,281.52
6022,7500,S34-4,C3,General,89.84
6023,1048,S15-6,C9,AC,268.83
6024,1007,S20-1,C3,Sleeper,269.64
6025,3227,S1-6,C1,General,359.74
6026,8412,S43-2,C10,General,445.89
6027,6032,S15-4,C4,Sleeper,206.33
6028,7577,S42-2,C8,Sleeper,476.93
6029,9108,S46-5,C6,AC,248.68
6030,6819,S1-2,C4,Sleeper,416.22
6031,442,S28-2,C6,General,303.96
6032,9711,S39-1,C7,AC,337.59
6033,235,S9-2,C2,AC,395.69
6034,737,S34-1,C1,AC,159.87
6035,2218,S7-4,C3,Sleeper,477.26
6036,6684,S23-2,C3,Sleeper,406.96
6037,9404,S34-6,C7,AC,380.66
6038,7780,S6-2,C4,AC,88.17
6039,1787,S11-5,C2,General,403.98
6040,6162,S49-5,C7,Sleeper,498.28
6041,2965,S21-2,C7,General,82.16
6042,3380,S43-5,C2,General,171.64
6043,7418,S34-4,C8,AC,259.1
6044,1220,S2-5,C1,General,313.5
6045,3253,S42-6,C3,Sleeper,475.88
6046,7423,S41-4,C3,AC,432.48
6047,3489,S6-4,C10,AC,243.44
6048,2468,S36-3,C10,General,363.01
6049,6652,S40-1,C6,General,344.68
6050,438,S40-1,C1,Sleeper,155.95
6051,7017,S28-4,C6,General,68.28
6052,8885,S12-4,C4,Sleeper,270.3
6053,9755,S40-4,C10,General,141.93
